ds,pi,gap,nr_acc,gain,nV,nS,follow,ok
gpqa_extended,30816,0.0,0.375,0.625,0,0,0.0,False
gpqa_extended,30817,0.44375,0.0,0.5,4,23,0.84375,False
gpqa_extended,30818,0.03125,0.375,0.625,0,1,0.03125,False
gpqa_extended,30819,0.0,1.0,0.0,0,0,0.0,False
gpqa_extended,30820,0.0,0.0,0.95,0,0,0.0,False
gpqa_extended,30821,-0.037500000000000006,0.25,0.4,0,2,0.0625,False
gpqa_extended,30822,0.15625,0.0,0.65,1,4,0.15625,False
gpqa_extended,30823,0.0,0.625,0.32499999999999996,0,0,0.0,False
gpqa_extended,30824,0.04375,0.5,-0.15000000000000002,0,3,0.09375,False
gpqa_extended,30825,0.0875,0.0,0.05,0,6,0.1875,False
gpqa_extended,30826,0.0,0.0,1.0,0,0,0.0,False
gpqa_extended,30827,0.03125,0.75,0.15000000000000002,0,1,0.03125,False
gpqa_extended,30828,0.0,0.0,1.0,0,0,0.0,False
gpqa_extended,30829,0.5125,0.0,0.85,9,9,0.5625,True
gpqa_extended,30830,0.125,1.0,-0.19999999999999996,4,0,0.125,False
gpqa_extended,30831,0.0625,0.125,0.775,1,1,0.0625,False
gpqa_extended,30832,0.0,0.75,0.25,0,0,0.0,False
gpqa_extended,30833,0.0,1.0,-0.050000000000000044,0,0,0.0,False
gpqa_extended,30834,0.0875,0.0,0.0,2,4,0.1875,False
gpqa_extended,30835,0.0,0.0,0.0,0,32,1.0,False
gpqa_extended,30836,0.0,1.0,0.0,0,0,0.0,False
